superkingdom	phylum	class	order	family	year	status	reference	name	taxid
Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	1990	established	Taylor et al	Actinomyces gerencseriae	52769
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	1990	established	Taylor et al	Bilophila wadsworthia	35833
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	1990	established	Taylor et al	Capnocytophaga canimorsus	28188
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	1990	established	Taylor et al	Capnocytophaga cynodegmi	28189
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	1990	established	Taylor et al	Enterobacter hormaechei	158836
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	1990	putative	"O’Hara, Caroline M., et al. ""First report of a human isolate of Erwinia persicinus."" Journal of Clinical Microbiology 36.1 (1998): 248-250."	Erwinia persicinus	55211
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	1990	established	Taylor et al	Legionella tucsonensis	40335
Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	1990	established	"Di Micco, Riccardo, Matthias Schneider, and Reto Nüesch. ""Postoperative Paenibacillus thiaminolyticus Wound Infection, Switzerland."" Emerging Infectious Diseases 27.7 (2021): 1984-1986."	Paenibacillus thiaminolyticus	49283
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1990	established	"Rosales-Castillo, Antonio, et al. ""Emerging presence of urethritis and balanitis by Pasteurella bettyae."" Infectious Diseases Now (2021)."	Pasteurella bettyae	752
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	1990	established	Taylor et al	Pasteurella caballi	243701
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	1990	established	"Goyal, Renu, Narinder Kaur, and Rajeev Thakur. ""Human soft tissue infection by the emerging pathogen Shewanella algae."" The Journal of Infection in Developing Countries 5.04 (2011): 310-312."	Shewanella algae	38313
Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	1990	established	"Lee, Wen-Sen, et al. ""Streptococcus parasanguinis coinfection with Escherichia coli bacteremia in a patient with complicated urinary tract infection."" Journal of Experimental & Clinical Medicine 6.6 (2014): 230-231."	Streptococcus parasanguinis	1318
Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	1990	established	"Jadhav, Kartik Pandurang, and Praveen G. Pai. ""A rare infective endocarditis caused by Vagococcus fluvialis."" Journal of cardiology cases 20.4 (2019): 129-131."	Vagococcus fluvialis	2738
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	1991	established	"Brenner, D. J., et al. ""Proposal of Afipia gen. nov., with Afipia felis sp. nov.(formerly the cat scratch disease bacillus), Afipia clevelandensis sp. nov.(formerly the Cleveland Clinic Foundation strain), Afipia broomeae sp. nov., and three unnamed genospecies."" Journal of Clinical Microbiology 29.11 (1991): 2450-2460."	Afipia broomeae	56946
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	1991	putative	"Brenner, D. J., et al. ""Proposal of Afipia gen. nov., with Afipia felis sp. nov.(formerly the cat scratch disease bacillus), Afipia clevelandensis sp. nov.(formerly the Cleveland Clinic Foundation strain), Afipia broomeae sp. nov., and three unnamed genospecies."" Journal of Clinical Microbiology 29.11 (1991): 2450-2460."	Afipia clevelandensis	1034
Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	1991	established	"Brenner, D. J., et al. ""Proposal of Afipia gen. nov., with Afipia felis sp. nov.(formerly the cat scratch disease bacillus), Afipia clevelandensis sp. nov.(formerly the Cleveland Clinic Foundation strain), Afipia broomeae sp. nov., and three unnamed genospecies."" Journal of Clinical Microbiology 29.11 (1991): 2450-2460."	Afipia felis	1035
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Arcobacteraceae	1991	established	Taylor et al	Arcobacter butzleri	28197
Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	1991	established	"Angelakis, Emmanouil, et al. ""Human case of Atopobium rimae bacteremia."" Emerging infectious diseases 15.2 (2009): 354."	Atopobium rimae	1383
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	1991	established	"Kiehlbauch, J. A., et al. ""Campylobacter butzleri sp. nov. isolated from humans and animals with diarrheal illness."" Journal of Clinical Microbiology 29.2 (1991): 376-385."	Campylobacter butzleri	28197
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	1991	established	Taylor et al	Campylobacter upsaliensis	28080
Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Corynebacteriaceae	1991	established	"Ang, Lei MN, and Hamish Brown. ""Corynebacterium accolens isolated from breast abscess: possible association with granulomatous mastitis."" Journal of clinical microbiology 45.5 (2007): 1666-1668."	Corynebacterium accolens	38284
Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	1992	established	"Schuur, P. M. H., et al. ""Urinary tract infections with Aerococcus urinae in the south of The Netherlands."" European Journal of Clinical Microbiology and Infectious Diseases 16.12 (1997): 871-875."	Aerococcus urinae	1376
